Date,Price,Open,High,Low,Volume,Chg%,Log_Price,Mean_12,First_Diff
2014-07-24,27651,27882,27882,27630,16960,-0.95,10.227417172661774,10.240295693068989,-0.009502285082687578
2014-07-25,27973,27696,27994,27673,12810,1.16,10.23899503822049,10.238995107429512,0.011577865558717093
2014-07-27,27960,27960,27960,27960,0,-0.05,10.238530196347746,10.237655784967307,-0.00046484187274487
2014-07-28,27909,27985,28085,27874,10300,-0.18,10.23670449643667,10.237802222392547,-0.001825699911076839
2014-07-29,27855,27950,28067,27827,7440,-0.19,10.234767762454917,10.238110936876323,-0.0019367339817524254
2014-07-30,27936,27888,27984,27740,10900,0.29,10.237671458639328,10.238616596411545,0.0029036961844113307
2014-07-31,27788,27800,27969,27751,11560,-0.53,10.232359551812772,10.237280854590148,-0.005311906826555912
2014-08-01,28037,27810,28124,27761,3300,0.9,10.241280345410422,10.237307609250147,0.008920793597649634
2014-08-04,27952,28023,28118,27900,1020,-0.3,10.238244032373839,10.2370753916014,-0.003036313036583138
2014-08-05,28392,27959,28790,27724,220,1.57,10.253862694326333,10.237877587301542,0.015618661952494506
2014-08-06,28559,28130,28640,28088,19080,0.59,10.259727401834914,10.239706634021973,0.00586470750858048
2014-08-07,28695,28559,28750,28460,14960,0.48,10.264478170542462,10.242003193421805,0.004750768707548758
2014-08-08,28515,28730,29010,28500,21260,-0.63,10.258185543590638,10.244567224332544,-0.006292626951823976
2014-08-10,28510,28510,28510,28510,0,-0.02,10.258010181906718,10.24615181963973,-0.00017536168392062734
2014-08-11,28554,28480,28600,28445,8670,0.15,10.259552310349166,10.247903662473181,0.0015421284424483872
2014-08-12,28641,28520,28780,28474,12990,0.3,10.262594536666143,10.250061165825636,0.003042226316976482
2014-08-13,28567,28590,28645,28480,13990,-0.26,10.260007484461118,10.252164475992823,-0.0025870522050244205
2014-08-14,28489,28521,28657,28378,16180,-0.27,10.257273326840833,10.253797965009614,-0.0027341576202850604
2014-08-18,28167,28405,28405,28140,10490,-1.13,10.245906358926657,10.254926865602437,-0.01136696791417613
2014-08-19,28124,28170,28248,28087,9500,-0.15,10.244378583319053,10.255185052094824,-0.0015277756076041982
2014-08-20,28079,28120,28158,28025,10170,-0.16,10.242777244969993,10.25556281981117,-0.0016013383490598443
2014-08-21,27599,28025,28025,27550,17840,-1.71,10.225534819164793,10.253202163547707,-0.017242425805200412
2014-08-22,27634,27657,27720,27555,11050,0.13,10.226802177616614,10.250458394862848,0.0012673584518214653
2014-08-25,27632,27624,27678,27535,8400,-0.01,10.22672980038646,10.24731269734985,-7.237723015407482e-05
2014-08-26,27720,27652,27880,27652,13070,0.32,10.22990945330384,10.244956356492615,0.0031796529173799826
2014-08-27,27599,27741,27760,27575,9260,-0.44,10.225534819164793,10.242250076264122,-0.004374634139047373
2014-08-28,27884,27642,27974,27642,14140,1.03,10.23580832660629,10.240271410952216,0.010273507441496577
2014-08-29,27794,27835,27835,27652,4090,-0.32,10.232575449046527,10.237769820317247,-0.003232877559762315
2014-09-01,27679,27747,27774,27651,4160,-0.41,10.228429281911374,10.2351383034381,-0.004146167135152368
2014-09-02,27340,27610,27676,27318,4010,-1.22,10.216106110277941,10.23170770205786,-0.012323171633433105
2014-09-03,27355,27362,27420,27186,1120,0.05,10.216654606497926,10.229270056022134,0.000548496219984429
2014-09-04,27282,27418,27427,27262,270,-0.27,10.213982423053066,10.226737042666635,-0.002672183444859755
2014-09-05,27225,27250,27360,27068,340,-0.21,10.21189094780116,10.224163184569234,-0.0020914752519054502
2014-09-08,27207,27448,27497,27116,13170,-0.07,10.211229572115677,10.222971080648472,-0.0006613756854836339
2014-09-09,27272,27237,27395,27159,15560,0.24,10.21361581381774,10.221872216998566,0.002386241702062364
2014-09-10,27194,27350,27441,27152,13410,-0.29,10.210751639715632,10.22054070360933,-0.0028641741021075973
2014-09-11,26996,27207,27246,26970,18440,-0.73,10.203443985863297,10.218335247989286,-0.007307653852334894
2014-09-12,26909,26958,26995,26801,16070,-0.32,10.200216082123742,10.216225353235865,-0.0032279037395550603
2014-09-13,26900,26900,26900,26900,0,-0.03,10.19988156558993,10.213231456484502,-0.0003345165338117795
2014-09-15,27006,26949,27118,26913,16610,0.39,10.203814342520987,10.210834697607373,0.0039327769310570915
2014-09-16,26954,27008,27110,26920,19690,-0.19,10.201886988329104,10.208622839808852,-0.0019273541918831683
2014-09-17,26907,26960,27009,26860,12060,-0.17,10.200141754786113,10.207292476851197,-0.0017452335429908317
2014-09-18,26659,26860,26860,26572,15980,-0.92,10.19088208365186,10.205144766614026,-0.0092596711342523
2014-09-19,26497,26605,26694,26470,15870,-0.61,10.184786798018687,10.202711797861161,-0.006095285633174186
2014-09-22,26605,26436,26665,26313,16470,0.41,10.18885444703047,10.200792089463604,0.004067649011783914
2014-09-23,26682,26586,26937,26488,16660,0.29,10.191744459738752,10.199168330098859,0.0028900127082813754
2014-09-24,26552,26685,26760,26526,13880,-0.49,10.18686035339981,10.196938708397365,-0.004884106338941763
2014-09-25,26919,26514,26950,26381,19580,1.38,10.200587635966167,10.196091708084909,0.013727282566357246
2014-09-26,26694,26960,27100,26665,19990,-0.84,10.192194100034097,10.195154217599145,-0.00839353593207015
2014-09-27,26693,26693,26693,26693,0,0.0,10.192156637730536,10.194482597233042,-3.746230356149738e-05
2014-09-29,26819,26760,26915,26685,9130,0.47,10.196865870532788,10.194231289311615,0.004709232802252217
2014-09-30,26805,26807,26968,26633,10680,-0.05,10.196343716261637,10.193608737123336,-0.0005221542711506544
2014-10-01,26790,26695,26840,26552,3920,-0.06,10.195783962538654,10.193100151640799,-0.0005597537229835581
2014-10-03,26439,26931,26931,26377,11020,-1.31,10.18259547176777,10.19163796138927,-0.013188490770883021
2014-10-05,26424,26424,26424,26424,0,-0.06,10.182027967070626,10.190900118340833,-0.0005675046971447273
2014-10-06,26637,26476,26667,26352,6970,0.81,10.190056505700436,10.191339260647645,0.008028538629810456
2014-10-07,26673,26581,26710,26566,14870,0.14,10.191407096789248,10.191551981460876,0.001350591088812081
2014-10-08,26633,26698,26885,26620,15810,-0.15,10.18990632736338,10.19139880376293,-0.001500769425868853
2014-10-09,26847,26696,26938,26696,16430,0.8,10.197909361850968,10.192319554467192,0.008003034487588323
2014-10-10,26855,26813,26940,26750,15640,0.03,10.19820730233956,10.192121193331642,0.00029794048859166367
2014-10-13,26855,26900,27135,26811,16690,0.0,10.19820730233956,10.192622293523764,0.0
2014-10-14,27128,26892,27170,26892,15720,1.02,10.208321683805474,10.193969380696675,0.01011438146591459
2014-10-16,27328,27150,27475,27150,17550,0.74,10.215667096588296,10.195536149534634,0.0073454127828220805
2014-10-17,27151,27310,27362,27085,14210,-0.65,10.209169157096309,10.196604936270857,-0.0064979394919877365
2014-10-20,27302,27131,27360,27078,11360,0.56,10.214715238562922,10.198182542606212,0.005546081466613728
2014-10-21,27394,27358,27496,27343,12770,0.34,10.218079290294767,10.20113952748346,0.0033640517318449525
2014-10-22,27333,27369,27389,27265,9860,-0.22,10.215850042381968,10.203958033759408,-0.002229247912799437
2014-10-23,26940,27174,27174,26913,6400,-1.44,10.201367449964355,10.204900612448066,-0.01448259241761285
2014-10-24,26963,27050,27067,26950,3460,0.09,10.202220834799924,10.20580175728229,0.0008533848355689599
2014-10-27,27008,26957,27048,26913,7360,0.17,10.203888397395684,10.206966929784981,0.0016675625957596196
2014-10-28,26909,26962,27076,26880,8530,-0.37,10.200216082123742,10.20715915647438,-0.003672315271941784
2014-10-29,26864,26974,26990,26805,6310,-0.17,10.198542379317322,10.20718707955586,-0.0016737028064195414
2014-10-30,26376,26811,26811,26326,10880,-1.82,10.180209784751566,10.205687286423528,-0.018332594565755755
2014-10-31,25924,26350,26375,25684,15940,-1.71,10.162924459547607,10.201904184402038,-0.01728532520395909
2014-11-03,25868,25877,25947,25750,3750,-0.22,10.160761962566484,10.197328756566888,-0.002162496981123141
